iter	Passed	Remaining
0	1	175
1	5	250
2	6	209
3	8	197
4	9	184
5	11	175
6	12	167
7	14	161
8	15	155
9	19	175
10	21	177
11	23	172
12	24	165
13	26	162
14	27	158
15	29	155
16	31	151
17	33	153
18	35	150
19	36	146
20	38	143
21	39	139
22	40	136
23	42	134
24	45	136
25	46	132
26	47	128
27	48	125
28	50	122
29	51	119
30	52	116
31	53	113
32	54	110
33	55	108
34	58	109
35	60	107
36	61	105
37	63	102
38	64	100
39	65	98
40	66	95
41	69	96
42	79	105
43	80	102
44	82	100
45	83	97
46	84	95
47	85	92
48	88	92
49	89	89
50	90	87
51	92	84
52	93	82
53	94	80
54	96	79
55	98	77
56	100	76
57	102	73
58	103	71
59	105	70
60	106	68
61	107	65
62	108	63
63	109	61
64	110	59
65	114	58
66	115	57
67	117	55
68	118	53
69	119	51
70	120	49
71	122	47
72	123	45
73	124	43
74	125	41
75	128	40
76	129	38
77	130	36
78	131	34
79	132	33
80	133	31
81	134	29
82	136	27
83	137	26
84	138	24
85	140	22
86	142	21
87	143	19
88	144	17
89	145	16
90	146	14
91	148	12
92	149	11
93	152	9
94	156	8
95	157	6
96	159	4
97	160	3
98	161	1
99	162	0
